"id","name","grade_level","academic_year","shift","created_at","updated_at"
"1","2ºAME","2","2025","morning","2025-06-20 00:35:04","2025-06-20 00:35:04"
"2","2ºBME","2","2025","morning","2025-06-20 00:35:04","2025-06-20 00:35:04"
"3","2ºCMG","2","2025","morning","2025-06-20 00:35:04","2025-06-20 00:35:04"
"4","2ºDMP","2","2025","morning","2025-06-20 00:35:04","2025-06-20 00:35:04"
"5","2ºEMP","2","2025","morning","2025-06-20 00:35:04","2025-06-20 00:35:04"
"6","2ºFMC","2","2025","morning","2025-06-20 00:35:04","2025-06-20 00:35:04"
"7","2ºGMC","2","2025","morning","2025-06-20 00:35:04","2025-06-20 00:35:04"
"8","2ºHML","2","2025","morning","2025-06-20 00:35:04","2025-06-20 00:35:04"
"9","2ºAVE","2","2025","morning","2025-06-20 00:35:04","2025-06-20 00:35:04"
"10","2ºBVE","2","2025","morning","2025-06-20 00:35:04","2025-06-20 00:35:04"
"11","2ºCVG","2","2025","morning","2025-06-20 00:35:04","2025-06-20 00:35:04"
"12","2ºDVP","2","2025","morning","2025-06-20 00:35:04","2025-06-20 00:35:04"
"13","2ºEVP","2","2025","morning","2025-06-20 00:35:04","2025-06-20 00:35:04"
"14","2ºFVC","2","2025","morning","2025-06-20 00:35:04","2025-06-20 00:35:04"
"15","2ºGVL","2","2025","morning","2025-06-20 00:35:04","2025-06-20 00:35:04"
